"","Importer","Year","Category","Country","region","subregion","vol","SYear","Category1"
"507","CA","14","1","Canada","Americas","Northern America",735,0.660141224122866,"Yes"
"508","CH","14","1","Switzerland","Europe","Western Europe",110,0.660141224122866,"Yes"
"509","CL","14","2","Chile","Americas","Latin America and the Caribbean",0,0.660141224122866,"No"
"510","CN","14","1","China","Asia","Eastern Asia",0,0.660141224122866,"Yes"
"511","CO","14","1","Colombia","Americas","Latin America and the Caribbean",130,0.660141224122866,"Yes"
"512","CR","14","1","Costa Rica","Americas","Latin America and the Caribbean",0,0.660141224122866,"Yes"
"513","CZ","14","1","Czechia","Europe","Eastern Europe",192,0.660141224122866,"Yes"
"514","DE","14","1","Germany","Europe","Western Europe",0,0.660141224122866,"Yes"
"515","DK","14","1","Denmark","Europe","Northern Europe",25,0.660141224122866,"Yes"
"516","ES","14","1","Spain","Europe","Southern Europe",0,0.660141224122866,"Yes"
"517","FR","14","1","France","Europe","Western Europe",0,0.660141224122866,"Yes"
"518","GB","14","1","United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",16,0.660141224122866,"Yes"
"519","HK","14","1","Hong Kong","Asia","Eastern Asia",123,0.660141224122866,"Yes"
"520","HU","14","1","Hungary","Europe","Eastern Europe",0,0.660141224122866,"Yes"
"521","ID","14","1","Indonesia","Asia","South-eastern Asia",0,0.660141224122866,"Yes"
"522","IE","14","1","Ireland","Europe","Northern Europe",0,0.660141224122866,"Yes"
"523","IT","14","1","Italy","Europe","Southern Europe",0,0.660141224122866,"Yes"
"524","JO","14","2","Jordan","Asia","Western Asia",0,0.660141224122866,"No"
"525","JP","14","1","Japan","Asia","Eastern Asia",1300,0.660141224122866,"Yes"
"526","KP","14","NP","Korea (Democratic People's Republic of)","Asia","Eastern Asia",0,0.660141224122866,"No"
"527","KR","14","1","Korea, Republic of","Asia","Eastern Asia",0,0.660141224122866,"Yes"
"528","MA","14","2","Morocco","Africa","Northern Africa",0,0.660141224122866,"No"
"529","MX","14","1","Mexico","Americas","Latin America and the Caribbean",0,0.660141224122866,"Yes"
"530","NL","14","1","Netherlands","Europe","Western Europe",1604,0.660141224122866,"Yes"
"531","PT","14","1","Portugal","Europe","Southern Europe",0,0.660141224122866,"Yes"
"532","RS","14","2","Serbia","Europe","Southern Europe",0,0.660141224122866,"No"
"533","RU","14","1","Russian Federation","Europe","Eastern Europe",0,0.660141224122866,"Yes"
"534","SK","14","1","Slovakia","Europe","Eastern Europe",0,0.660141224122866,"Yes"
"535","SV","14","1","El Salvador","Americas","Latin America and the Caribbean",0,0.660141224122866,"Yes"
"536","TH","14","1","Thailand","Asia","South-eastern Asia",0,0.660141224122866,"Yes"
"537","TW","14","NP","Taiwan, Province of China","Asia","Eastern Asia",0,0.660141224122866,"No"
"538","UA","14","1","Ukraine","Europe","Eastern Europe",114,0.660141224122866,"Yes"
"539","US","14","1","United States of America","Americas","Northern America",4331,0.660141224122866,"Yes"
"540","ZA","14","1","South Africa","Africa","Sub-Saharan Africa",0,0.660141224122866,"Yes"
"541","BD","15","2","Bangladesh","Asia","Southern Asia",0,0.825176530153582,"No"
"542","BE","15","1","Belgium","Europe","Western Europe",0,0.825176530153582,"Yes"
"543","CA","15","1","Canada","Americas","Northern America",186,0.825176530153582,"Yes"
"544","CH","15","1","Switzerland","Europe","Western Europe",394,0.825176530153582,"Yes"
"545","CL","15","2","Chile","Americas","Latin America and the Caribbean",0,0.825176530153582,"No"
"546","CN","15","1","China","Asia","Eastern Asia",161,0.825176530153582,"Yes"
"547","CO","15","1","Colombia","Americas","Latin America and the Caribbean",0,0.825176530153582,"Yes"
"548","CR","15","1","Costa Rica","Americas","Latin America and the Caribbean",0,0.825176530153582,"Yes"
"549","CZ","15","1","Czechia","Europe","Eastern Europe",553,0.825176530153582,"Yes"
"550","DE","15","1","Germany","Europe","Western Europe",0,0.825176530153582,"Yes"
"551","DK","15","1","Denmark","Europe","Northern Europe",0,0.825176530153582,"Yes"
"552","ES","15","1","Spain","Europe","Southern Europe",140,0.825176530153582,"Yes"
"553","FR","15","1","France","Europe","Western Europe",65,0.825176530153582,"Yes"
"554","GB","15","1","United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",583,0.825176530153582,"Yes"
"555","HK","15","1","Hong Kong","Asia","Eastern Asia",350,0.825176530153582,"Yes"
"556","HU","15","1","Hungary","Europe","Eastern Europe",60,0.825176530153582,"Yes"
"557","ID","15","1","Indonesia","Asia","South-eastern Asia",65,0.825176530153582,"Yes"
"558","IE","15","1","Ireland","Europe","Northern Europe",0,0.825176530153582,"Yes"
"559","IT","15","1","Italy","Europe","Southern Europe",0,0.825176530153582,"Yes"
"560","JO","15","2","Jordan","Asia","Western Asia",0,0.825176530153582,"No"
"561","JP","15","1","Japan","Asia","Eastern Asia",1126,0.825176530153582,"Yes"
"562","KP","15","NP","Korea (Democratic People's Republic of)","Asia","Eastern Asia",0,0.825176530153582,"No"
"563","KR","15","1","Korea, Republic of","Asia","Eastern Asia",0,0.825176530153582,"Yes"
"564","MA","15","2","Morocco","Africa","Northern Africa",0,0.825176530153582,"No"
"565","MX","15","1","Mexico","Americas","Latin America and the Caribbean",0,0.825176530153582,"Yes"
"566","NL","15","1","Netherlands","Europe","Western Europe",649,0.825176530153582,"Yes"
"567","PT","15","1","Portugal","Europe","Southern Europe",0,0.825176530153582,"Yes"
"568","RS","15","2","Serbia","Europe","Southern Europe",0,0.825176530153582,"No"
"569","RU","15","1","Russian Federation","Europe","Eastern Europe",100,0.825176530153582,"Yes"
"570","SK","15","1","Slovakia","Europe","Eastern Europe",0,0.825176530153582,"Yes"
"571","SV","15","1","El Salvador","Americas","Latin America and the Caribbean",0,0.825176530153582,"Yes"
"572","TH","15","1","Thailand","Asia","South-eastern Asia",0,0.825176530153582,"Yes"
"573","TW","15","NP","Taiwan, Province of China","Asia","Eastern Asia",0,0.825176530153582,"No"
"574","UA","15","1","Ukraine","Europe","Eastern Europe",0,0.825176530153582,"Yes"
"575","US","15","1","United States of America","Americas","Northern America",5044,0.825176530153582,"Yes"
"576","ZA","15","1","South Africa","Africa","Sub-Saharan Africa",0,0.825176530153582,"Yes"
"577","BD","16","2","Bangladesh","Asia","Southern Asia",0,0.990211836184299,"No"
"578","BE","16","1","Belgium","Europe","Western Europe",0,0.990211836184299,"Yes"
"579","CA","16","1","Canada","Americas","Northern America",0,0.990211836184299,"Yes"
"580","CH","16","1","Switzerland","Europe","Western Europe",0,0.990211836184299,"Yes"
"581","CL","16","2","Chile","Americas","Latin America and the Caribbean",0,0.990211836184299,"No"
"582","CN","16","1","China","Asia","Eastern Asia",0,0.990211836184299,"Yes"
"583","CO","16","1","Colombia","Americas","Latin America and the Caribbean",0,0.990211836184299,"Yes"
"584","CR","16","1","Costa Rica","Americas","Latin America and the Caribbean",0,0.990211836184299,"Yes"
"585","CZ","16","1","Czechia","Europe","Eastern Europe",175,0.990211836184299,"Yes"
"586","DE","16","1","Germany","Europe","Western Europe",60,0.990211836184299,"Yes"
"587","DK","16","1","Denmark","Europe","Northern Europe",19,0.990211836184299,"Yes"
"588","ES","16","1","Spain","Europe","Southern Europe",80,0.990211836184299,"Yes"
"589","FR","16","1","France","Europe","Western Europe",42,0.990211836184299,"Yes"
"590","GB","16","1","United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",190,0.990211836184299,"Yes"
"591","HK","16","1","Hong Kong","Asia","Eastern Asia",875,0.990211836184299,"Yes"
"592","HU","16","1","Hungary","Europe","Eastern Europe",102,0.990211836184299,"Yes"
"593","ID","16","1","Indonesia","Asia","South-eastern Asia",65,0.990211836184299,"Yes"
"594","IE","16","1","Ireland","Europe","Northern Europe",0,0.990211836184299,"Yes"
"595","IT","16","1","Italy","Europe","Southern Europe",0,0.990211836184299,"Yes"
"596","JO","16","2","Jordan","Asia","Western Asia",0,0.990211836184299,"No"
"597","JP","16","1","Japan","Asia","Eastern Asia",842,0.990211836184299,"Yes"
"598","KP","16","NP","Korea (Democratic People's Republic of)","Asia","Eastern Asia",0,0.990211836184299,"No"
"599","KR","16","1","Korea, Republic of","Asia","Eastern Asia",0,0.990211836184299,"Yes"
"600","MA","16","2","Morocco","Africa","Northern Africa",0,0.990211836184299,"No"
"601","MX","16","1","Mexico","Americas","Latin America and the Caribbean",0,0.990211836184299,"Yes"
"602","NL","16","1","Netherlands","Europe","Western Europe",250,0.990211836184299,"Yes"
"603","PT","16","1","Portugal","Europe","Southern Europe",0,0.990211836184299,"Yes"
"604","RS","16","1","Serbia","Europe","Southern Europe",0,0.990211836184299,"Yes"
"605","RU","16","1","Russian Federation","Europe","Eastern Europe",394,0.990211836184299,"Yes"
"606","SK","16","1","Slovakia","Europe","Eastern Europe",0,0.990211836184299,"Yes"
"607","SV","16","1","El Salvador","Americas","Latin America and the Caribbean",0,0.990211836184299,"Yes"
"608","TH","16","1","Thailand","Asia","South-eastern Asia",0,0.990211836184299,"Yes"
"609","TW","16","NP","Taiwan, Province of China","Asia","Eastern Asia",0,0.990211836184299,"No"
"610","UA","16","1","Ukraine","Europe","Eastern Europe",0,0.990211836184299,"Yes"
"611","US","16","1","United States of America","Americas","Northern America",3337,0.990211836184299,"Yes"
"612","ZA","16","1","South Africa","Africa","Sub-Saharan Africa",0,0.990211836184299,"Yes"
"613","BD","17","2","Bangladesh","Asia","Southern Asia",0,1.15524714221502,"No"
"614","BE","17","1","Belgium","Europe","Western Europe",0,1.15524714221502,"Yes"
"615","CA","17","1","Canada","Americas","Northern America",153,1.15524714221502,"Yes"
"616","CH","17","1","Switzerland","Europe","Western Europe",46,1.15524714221502,"Yes"
"617","CL","17","1","Chile","Americas","Latin America and the Caribbean",0,1.15524714221502,"Yes"
"618","CN","17","1","China","Asia","Eastern Asia",0,1.15524714221502,"Yes"
"619","CO","17","1","Colombia","Americas","Latin America and the Caribbean",0,1.15524714221502,"Yes"
"620","CR","17","1","Costa Rica","Americas","Latin America and the Caribbean",0,1.15524714221502,"Yes"
"621","CZ","17","1","Czechia","Europe","Eastern Europe",134,1.15524714221502,"Yes"
"622","DE","17","1","Germany","Europe","Western Europe",155,1.15524714221502,"Yes"
"623","DK","17","1","Denmark","Europe","Northern Europe",80,1.15524714221502,"Yes"
"624","ES","17","1","Spain","Europe","Southern Europe",158,1.15524714221502,"Yes"
"625","FR","17","1","France","Europe","Western Europe",0,1.15524714221502,"Yes"
"626","GB","17","1","United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",0,1.15524714221502,"Yes"
"627","HK","17","1","Hong Kong","Asia","Eastern Asia",298,1.15524714221502,"Yes"
"628","HU","17","1","Hungary","Europe","Eastern Europe",324,1.15524714221502,"Yes"
"629","ID","17","1","Indonesia","Asia","South-eastern Asia",0,1.15524714221502,"Yes"
"630","IE","17","1","Ireland","Europe","Northern Europe",102,1.15524714221502,"Yes"
"631","IT","17","1","Italy","Europe","Southern Europe",0,1.15524714221502,"Yes"
"632","JO","17","2","Jordan","Asia","Western Asia",0,1.15524714221502,"No"
"633","JP","17","1","Japan","Asia","Eastern Asia",834,1.15524714221502,"Yes"
"634","KP","17","NP","Korea (Democratic People's Republic of)","Asia","Eastern Asia",0,1.15524714221502,"No"
"635","KR","17","1","Korea, Republic of","Asia","Eastern Asia",0,1.15524714221502,"Yes"
"636","MA","17","1","Morocco","Africa","Northern Africa",0,1.15524714221502,"Yes"
"637","MX","17","1","Mexico","Americas","Latin America and the Caribbean",0,1.15524714221502,"Yes"
"638","NL","17","1","Netherlands","Europe","Western Europe",203,1.15524714221502,"Yes"
"639","PT","17","1","Portugal","Europe","Southern Europe",0,1.15524714221502,"Yes"
"640","RS","17","1","Serbia","Europe","Southern Europe",0,1.15524714221502,"Yes"
"641","RU","17","1","Russian Federation","Europe","Eastern Europe",26,1.15524714221502,"Yes"
"642","SK","17","1","Slovakia","Europe","Eastern Europe",0,1.15524714221502,"Yes"
"643","SV","17","1","El Salvador","Americas","Latin America and the Caribbean",0,1.15524714221502,"Yes"
"644","TH","17","1","Thailand","Asia","South-eastern Asia",0,1.15524714221502,"Yes"
"645","TW","17","NP","Taiwan, Province of China","Asia","Eastern Asia",0,1.15524714221502,"No"
"646","UA","17","1","Ukraine","Europe","Eastern Europe",0,1.15524714221502,"Yes"
"647","US","17","1","United States of America","Americas","Northern America",6215,1.15524714221502,"Yes"
"648","ZA","17","1","South Africa","Africa","Sub-Saharan Africa",20,1.15524714221502,"Yes"
"649","BD","18","2","Bangladesh","Asia","Southern Asia",0,1.32028244824573,"No"
"650","BE","18","1","Belgium","Europe","Western Europe",0,1.32028244824573,"Yes"
"651","CA","18","1","Canada","Americas","Northern America",220,1.32028244824573,"Yes"
"652","CH","18","1","Switzerland","Europe","Western Europe",50,1.32028244824573,"Yes"
"653","CL","18","1","Chile","Americas","Latin America and the Caribbean",0,1.32028244824573,"Yes"
"654","CN","18","1","China","Asia","Eastern Asia",0,1.32028244824573,"Yes"
"655","CO","18","1","Colombia","Americas","Latin America and the Caribbean",0,1.32028244824573,"Yes"
"656","CR","18","1","Costa Rica","Americas","Latin America and the Caribbean",0,1.32028244824573,"Yes"
"657","CZ","18","1","Czechia","Europe","Eastern Europe",165,1.32028244824573,"Yes"
"658","DE","18","1","Germany","Europe","Western Europe",30,1.32028244824573,"Yes"
"659","DK","18","1","Denmark","Europe","Northern Europe",62,1.32028244824573,"Yes"
"660","ES","18","1","Spain","Europe","Southern Europe",597,1.32028244824573,"Yes"
"661","FR","18","1","France","Europe","Western Europe",0,1.32028244824573,"Yes"
"662","GB","18","1","United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",0,1.32028244824573,"Yes"
"663","HK","18","1","Hong Kong","Asia","Eastern Asia",89,1.32028244824573,"Yes"
"664","HU","18","1","Hungary","Europe","Eastern Europe",115,1.32028244824573,"Yes"
"665","ID","18","1","Indonesia","Asia","South-eastern Asia",100,1.32028244824573,"Yes"
"666","IE","18","1","Ireland","Europe","Northern Europe",0,1.32028244824573,"Yes"
"667","IT","18","1","Italy","Europe","Southern Europe",0,1.32028244824573,"Yes"
"668","JO","18","2","Jordan","Asia","Western Asia",0,1.32028244824573,"No"
"669","JP","18","1","Japan","Asia","Eastern Asia",1558,1.32028244824573,"Yes"
"670","KP","18","NP","Korea (Democratic People's Republic of)","Asia","Eastern Asia",34,1.32028244824573,"No"
"671","KR","18","1","Korea, Republic of","Asia","Eastern Asia",93,1.32028244824573,"Yes"
"672","MA","18","1","Morocco","Africa","Northern Africa",0,1.32028244824573,"Yes"
"673","MX","18","1","Mexico","Americas","Latin America and the Caribbean",0,1.32028244824573,"Yes"
"674","NL","18","1","Netherlands","Europe","Western Europe",208,1.32028244824573,"Yes"
"675","PT","18","1","Portugal","Europe","Southern Europe",0,1.32028244824573,"Yes"
"676","RS","18","1","Serbia","Europe","Southern Europe",0,1.32028244824573,"Yes"
"677","RU","18","1","Russian Federation","Europe","Eastern Europe",30,1.32028244824573,"Yes"
"678","SK","18","1","Slovakia","Europe","Eastern Europe",0,1.32028244824573,"Yes"
"679","SV","18","1","El Salvador","Americas","Latin America and the Caribbean",0,1.32028244824573,"Yes"
"680","TH","18","1","Thailand","Asia","South-eastern Asia",0,1.32028244824573,"Yes"
"681","TW","18","NP","Taiwan, Province of China","Asia","Eastern Asia",843,1.32028244824573,"No"
"682","UA","18","1","Ukraine","Europe","Eastern Europe",0,1.32028244824573,"Yes"
"683","US","18","1","United States of America","Americas","Northern America",7080,1.32028244824573,"Yes"
"684","ZA","18","1","South Africa","Africa","Sub-Saharan Africa",77,1.32028244824573,"Yes"
"685","BD","19","2","Bangladesh","Asia","Southern Asia",0,1.48531775427645,"No"
"686","BE","19","1","Belgium","Europe","Western Europe",0,1.48531775427645,"Yes"
"687","CA","19","1","Canada","Americas","Northern America",283,1.48531775427645,"Yes"
"688","CH","19","1","Switzerland","Europe","Western Europe",0,1.48531775427645,"Yes"
"689","CL","19","1","Chile","Americas","Latin America and the Caribbean",0,1.48531775427645,"Yes"
"690","CN","19","1","China","Asia","Eastern Asia",0,1.48531775427645,"Yes"
"691","CO","19","1","Colombia","Americas","Latin America and the Caribbean",0,1.48531775427645,"Yes"
"692","CR","19","1","Costa Rica","Americas","Latin America and the Caribbean",0,1.48531775427645,"Yes"
"693","CZ","19","1","Czechia","Europe","Eastern Europe",148,1.48531775427645,"Yes"
"694","DE","19","1","Germany","Europe","Western Europe",0,1.48531775427645,"Yes"
"695","DK","19","1","Denmark","Europe","Northern Europe",23,1.48531775427645,"Yes"
"696","ES","19","1","Spain","Europe","Southern Europe",402,1.48531775427645,"Yes"
"697","FR","19","1","France","Europe","Western Europe",0,1.48531775427645,"Yes"
"698","GB","19","1","United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",0,1.48531775427645,"Yes"
"699","HK","19","1","Hong Kong","Asia","Eastern Asia",152,1.48531775427645,"Yes"
"700","HU","19","1","Hungary","Europe","Eastern Europe",145,1.48531775427645,"Yes"
"701","ID","19","1","Indonesia","Asia","South-eastern Asia",0,1.48531775427645,"Yes"
"702","IE","19","1","Ireland","Europe","Northern Europe",0,1.48531775427645,"Yes"
"703","IT","19","1","Italy","Europe","Southern Europe",0,1.48531775427645,"Yes"
"704","JO","19","2","Jordan","Asia","Western Asia",0,1.48531775427645,"No"
"705","JP","19","1","Japan","Asia","Eastern Asia",2083,1.48531775427645,"Yes"
"706","KP","19","NP","Korea (Democratic People's Republic of)","Asia","Eastern Asia",0,1.48531775427645,"No"
"707","KR","19","1","Korea, Republic of","Asia","Eastern Asia",88,1.48531775427645,"Yes"
"708","MA","19","1","Morocco","Africa","Northern Africa",0,1.48531775427645,"Yes"
"709","MX","19","1","Mexico","Americas","Latin America and the Caribbean",0,1.48531775427645,"Yes"
"710","NL","19","1","Netherlands","Europe","Western Europe",442,1.48531775427645,"Yes"
"711","PT","19","1","Portugal","Europe","Southern Europe",0,1.48531775427645,"Yes"
"712","RS","19","1","Serbia","Europe","Southern Europe",0,1.48531775427645,"Yes"
"713","RU","19","1","Russian Federation","Europe","Eastern Europe",0,1.48531775427645,"Yes"
"714","SK","19","1","Slovakia","Europe","Eastern Europe",0,1.48531775427645,"Yes"
"715","SV","19","1","El Salvador","Americas","Latin America and the Caribbean",0,1.48531775427645,"Yes"
"716","TH","19","1","Thailand","Asia","South-eastern Asia",0,1.48531775427645,"Yes"
"717","TW","19","NP","Taiwan, Province of China","Asia","Eastern Asia",0,1.48531775427645,"No"
"718","UA","19","1","Ukraine","Europe","Eastern Europe",0,1.48531775427645,"Yes"
"719","US","19","1","United States of America","Americas","Northern America",4768,1.48531775427645,"Yes"
"720","ZA","19","1","South Africa","Africa","Sub-Saharan Africa",18,1.48531775427645,"Yes"
"721","BD","20","2","Bangladesh","Asia","Southern Asia",0,1.65035306030716,"No"
"722","BE","20","1","Belgium","Europe","Western Europe",0,1.65035306030716,"Yes"
"723","CA","20","1","Canada","Americas","Northern America",184,1.65035306030716,"Yes"
"724","CH","20","1","Switzerland","Europe","Western Europe",0,1.65035306030716,"Yes"
"725","CL","20","1","Chile","Americas","Latin America and the Caribbean",0,1.65035306030716,"Yes"
"726","CN","20","1","China","Asia","Eastern Asia",0,1.65035306030716,"Yes"
"727","CO","20","1","Colombia","Americas","Latin America and the Caribbean",0,1.65035306030716,"Yes"
"728","CR","20","1","Costa Rica","Americas","Latin America and the Caribbean",0,1.65035306030716,"Yes"
"729","CZ","20","1","Czechia","Europe","Eastern Europe",97,1.65035306030716,"Yes"
"730","DE","20","1","Germany","Europe","Western Europe",0,1.65035306030716,"Yes"
"731","DK","20","1","Denmark","Europe","Northern Europe",0,1.65035306030716,"Yes"
"732","ES","20","1","Spain","Europe","Southern Europe",397,1.65035306030716,"Yes"
"733","FR","20","1","France","Europe","Western Europe",0,1.65035306030716,"Yes"
"734","GB","20","1","United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",20,1.65035306030716,"Yes"
"735","HK","20","1","Hong Kong","Asia","Eastern Asia",5,1.65035306030716,"Yes"
"736","HU","20","1","Hungary","Europe","Eastern Europe",110,1.65035306030716,"Yes"
"737","ID","20","1","Indonesia","Asia","South-eastern Asia",0,1.65035306030716,"Yes"
"738","IE","20","1","Ireland","Europe","Northern Europe",0,1.65035306030716,"Yes"
"739","IT","20","1","Italy","Europe","Southern Europe",0,1.65035306030716,"Yes"
"740","JO","20","2","Jordan","Asia","Western Asia",10,1.65035306030716,"No"
"741","JP","20","1","Japan","Asia","Eastern Asia",230,1.65035306030716,"Yes"
"742","KP","20","NP","Korea (Democratic People's Republic of)","Asia","Eastern Asia",0,1.65035306030716,"No"
"743","KR","20","1","Korea, Republic of","Asia","Eastern Asia",0,1.65035306030716,"Yes"
"744","MA","20","1","Morocco","Africa","Northern Africa",0,1.65035306030716,"Yes"
"745","MX","20","1","Mexico","Americas","Latin America and the Caribbean",0,1.65035306030716,"Yes"
"746","NL","20","1","Netherlands","Europe","Western Europe",0,1.65035306030716,"Yes"
"747","PT","20","1","Portugal","Europe","Southern Europe",0,1.65035306030716,"Yes"
"748","RS","20","1","Serbia","Europe","Southern Europe",0,1.65035306030716,"Yes"
"749","RU","20","1","Russian Federation","Europe","Eastern Europe",125,1.65035306030716,"Yes"
"750","SK","20","1","Slovakia","Europe","Eastern Europe",0,1.65035306030716,"Yes"
"751","SV","20","1","El Salvador","Americas","Latin America and the Caribbean",0,1.65035306030716,"Yes"
"752","TH","20","1","Thailand","Asia","South-eastern Asia",0,1.65035306030716,"Yes"
"753","TW","20","NP","Taiwan, Province of China","Asia","Eastern Asia",0,1.65035306030716,"No"
"754","UA","20","1","Ukraine","Europe","Eastern Europe",0,1.65035306030716,"Yes"
"755","US","20","1","United States of America","Americas","Northern America",327,1.65035306030716,"Yes"
"756","ZA","20","1","South Africa","Africa","Sub-Saharan Africa",0,1.65035306030716,"Yes"
